Id,SalePrice
1461,124146.1321828393
1462,161551.7508597037
1463,187035.8719066323
1464,200369.03473457776
1465,186722.24171777774
1466,172700.3428863621
1467,175904.22579164556
1468,166092.25456216454
1469,189254.7669074526
1470,124225.84966581335
1471,178218.29760366975
1472,96219.2247532461
1473,94701.84960037994
1474,147024.88750049268
1475,115214.70270895422
1476,362075.6169292926
1477,250270.0873169448
1478,287250.2166038276
1479,289464.6837796419
1480,570983.9224719068
1481,323778.64216932916
1482,207364.7503878404
1483,174000.95806059198
1484,163431.8976175284
1485,181797.89500779833
1486,195119.0148068391
1487,338454.40810563625
1488,243128.19751172757
1489,202069.61752898633
1490,237367.16456752035
1491,192876.92230469955
1492,94611.72167101467
1493,188553.71124671242
1494,291417.1619373212
1495,285672.916630866
1496,240772.58535318088
1497,182251.94402539
1498,178218.29760366975
1499,160288.35086059014
1500,156877.09819391475
1501,176380.2156707298
1502,143563.09327388435
1503,305642.2834510215
1504,241275.6883057356
1505,227286.93123159616
1506,187589.40182551043
1507,253077.37080658402
1508,203871.67053958334
1509,160968.36087567912
1510,146617.84458194947
1511,146650.957922044
1512,172715.26793698786
1513,148753.9707347306
1514,166061.21085259743
1515,190250.50249957351
1516,149718.0975489466
1517,168406.17718052358
1518,128894.98821544104
1519,218024.53307324625
1520,132966.2814764122
1521,136164.77028052308
1522,174762.78895408785
1523,116588.31671977144
1524,126716.65242872426
1525,124549.81076569145
1526,115085.87116224156
1527,102777.57749131034
1528,136415.59166847516
1529,178218.29760366975
1530,181337.91926293127
1531,99476.83745352413
1532,94850.2028786235
1533,145913.42515828024
1534,121961.26523114037
1535,149589.12372902452
1536,106214.2834818901
1537,61188.08852479067
1538,158585.060524311
1539,189224.39963310765
1540,90992.31075501014
1541,143927.61866059538
1542,142179.6756533346
1543,201241.24776619134
1544,84239.05931742168
1545,111707.78220403485
1546,130066.45454141783
1547,132866.9462005535
1548,137118.16673829986
1549,116649.42074550832
1550,136465.262297681
1551,107452.9176244113
1552,143504.1340535452
1553,153587.5020818989
1554,120022.28363799154
1555,166148.08015825087
1556,83522.9998807729
1557,104083.29860903881
1558,97480.51964621792
1559,67574.0526834588
1560,126297.81418807746
1561,138922.016319816
1562,131068.35497984802
1563,124225.36734672092
1564,154607.8919727508
1565,150350.29185780638
1566,244212.30799870117
